data_evento,id_empresa,tipo_evento,pagamento,total_participantes,cobertura,coordenador,valor_faturado,royalties,desconto_contratante,contratante,categoria
2017-01-02,15, Fórum de Tecnologia,50% PAGO,1268, Daily Chronicle,Marcelo Mendes,102150.0,20430.0,2043.0,Johnson Enterprises,402
2017-01-02,20, Fórum de Tecnologia,50% PAGO,299, News Wave,Natalia Silva,108310.0,16246.5,0.0,Coleman Holdings,401
2017-01-03,2, Competição Esportiva,50% PAGO,1136, The Urban Tribune,Vilma Soares,113362.5,17004.375,2267.25,Não Cadastrado,400
2017-01-03,19, Competição Esportiva,SIM,328, City Newsline,Geraldo Pereira,109048.0,16357.199999999999,0.0,Coleman Holdings,401
2017-01-04,12, Fórum de Tecnologia,NÃO,392, City Newsline,Geraldo Pereira,,0.0,0.0,Reed Corporation,401
2017-01-04,15,Festival Cultural,SIM,754, Community Digest,Natalia Silva,72161.5,10824.225,1443.23,Ortiz Enterprises,401
2017-01-05,7, Evento Beneficente,NÃO,380,O Globo,Marcelo Mendes,,0.0,0.0,Lewis Enterprises,401
2017-01-05,19,Feira de Negócios,NÃO,1075, City Pulse,Marcelo Mendes,,0.0,0.0,Coleman Group,402
2017-01-05,12,Seminário de Desenvolvimento Pessoal,SIM,1223, The Information Digest,Natalia Silva,37798.5,5669.775,755.97,Coleman Holdings,400
2017-01-05,5, Convenção Empresarial,SIM,448, Express News,Geraldo Pereira,28089.0,4213.349999999999,0.0,Allen & Co,401
2017-01-05,3,Feira de Negócios,SIM,1089, Urban Update,Geraldo Pereira,106264.0,15939.599999999999,2125.28,Brown & Co,400
2017-01-05,2,Seminário de Desenvolvimento Pessoal,50% PAGO,394, The Informational Herald,Geraldo Pereira,64466.0,9669.9,1289.32,Coleman Holdings,401
2017-01-05,3,Gala de Premiação,NÃO,396, Metro Tribune,Vilma Soares,,0.0,0.0,Smith Corporation,402
2017-01-05,15,Exposição de Arte,50% PAGO,1304, Local Times,Geraldo Pereira,103963.0,15594.449999999999,2079.26,Perry Group,403
2017-01-05,20, Feira Gastronômica,SIM,1110, City News Now,Natalia Silva,143579.5,21536.925,0.0,Brown & Co,401
2017-01-07,8, Encontro de Networking,50% PAGO,614, Urban Update,Natalia Silva,68205.0,10230.75,1364.1000000000001,Não Informado,401
2017-01-07,7,Conferência Internacional,50% PAGO,1297,Yahoo,Vilma Soares,107373.0,16105.949999999999,2147.46,Morgan Holdings,400
