DATA;ESTADOS;UF;TOTAL DE ACESSOS;PERIODO_DE_ACESSOS;QTDE_SEGMENTOS_ESTADOS;TIPO_DE_CONTA;VALOR
21/02/2023;Alagoas;AL;5553;Manhã;Drama;PLANO BASICO; R$ 19,90 
10/01/2023;Bahia;BA;6074;Manhã;Politica;PLANO PADRAO; R$ 27,90 
11/03/2023;Pará;PA;8564;Tarde;Para Crianças;PLANO PADRAO; R$ 27,90 
11/02/2023;Pernambuco;PE;3089;Tarde;Novas Pers.Sobre. Def;PLANO PADRAO; R$ 27,90 
17/02/2023;Tocantins;TO;5766;Manhã;Novas Pers.Sobre. Def;PLANO BASICO; R$ 19,90 
09/03/2023;Mato Grosso do Sul;MS;5467;Tarde;Romance;PLANO PREMIUM; R$ 37,90 
29/01/2023;Pernambuco;PE;8839;Noite;Terror;PLANO PADRAO; R$ 27,90 
23/02/2023;Amapá;AP;5257;Noite;Series e Documentarios;PLANO PREMIUM; R$ 37,90 
01/02/2023;Goiás;GO;9294;Noite;Terror;PLANO PREMIUM; R$ 37,90 
13/03/2023;Rondônia;RO;3862;Manhã;Anime;PLANO BASICO; R$ 19,90 
14/02/2023;Mato Grosso do Sul;MS;5725;Madrugada;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
07/01/2023;Bahia;BA;3507;Noite;Novelas;PLANO PREMIUM; R$ 37,90 
25/01/2023;Santa Catarina;SC;8798;Manhã;Ciência e Natureza;PLANO PADRAO; R$ 27,90 
10/03/2023;Rio Grande do Norte;RN;2222;Madrugada;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
10/01/2023;Espírito Santo;ES;6887;Manhã;Teen;PLANO PADRAO; R$ 27,90 
28/01/2023;Sergipe;SE;662;Madrugada;Teen;PLANO PADRAO; R$ 27,90 
14/03/2023;Acre;AC;639;Manhã;Novas Pers.Sobre. Def;PLANO BASICO; R$ 19,90 
18/01/2023;Espírito Santo;ES;3010;Madrugada;Esporte;PLANO PADRAO; R$ 27,90 
12/03/2023;Piauí;PI;6283;Noite;Terror;PLANO BASICO; R$ 19,90 
04/02/2023;Amapá;AP;5649;Tarde;Esporte;PLANO PADRAO; R$ 27,90 
25/01/2023;Tocantins;TO;3525;Manhã;Ação;PLANO PADRAO; R$ 27,90 
27/01/2023;Maranhão;MA;4670;Tarde;Asiaticos;PLANO PREMIUM; R$ 37,90 
29/03/2023;Rio Grande do Sul;RS;4912;Manhã;Terror;PLANO BASICO; R$ 19,90 
21/02/2023;Piauí;PI;3275;Noite;Para Crianças;PLANO PREMIUM; R$ 37,90 
23/02/2023;Sergipe;SE;449;Manhã;Reality e Talks;PLANO BASICO; R$ 19,90 
08/03/2023;Sergipe;SE;5183;Madrugada;Comédia;PLANO PADRAO; R$ 27,90 
04/01/2023;Piauí;PI;9706;Manhã;Misterio;PLANO PREMIUM; R$ 37,90 
01/03/2023;Alagoas;AL;7525;Noite;Para Crianças;PLANO PREMIUM; R$ 37,90 
18/03/2023;Rondônia;RO;6958;Tarde;Drama;PLANO BASICO; R$ 19,90 
