Data       ;País ;Capital      ;Continente     ;Dispositivos Conectados;Tipo de Acesso;Tempo Média de Acesso
21/02/2023;Nepal;Catmandu;Ásia;1675;Microsoft Edge;21:17:16
10/01/2023;Essuatíni;Lobamba;África;838;Chrome;18:31:31
11/03/2023;Sudão do Sul;Juba;África;1750;Safari ;14:55:12
11/02/2023;Canadá;Otava;América;1007;iPhone;02:39:53
17/02/2023;Maldivas;Malé;Ásia;770;Firefox;22:01:40
09/03/2023;Palau;Ngerulmud;Oceania;2646;Microsoft Edge;14:22:48
29/01/2023;Guatemala;Cidade da Guatemala;América;2431;Cellphone;07:15:56
23/02/2023;Salvador;São Salvador;América;1065;Firefox;19:29:42
01/02/2023;Gâmbia;Banjul;África;1405;iPad;20:33:19
13/03/2023;Guiné-Bissau;Bissau;África;1041;Playstation;13:50:31
14/02/2023;Arménia;Erevã;Ásia;1755;Tv Smart;12:52:46
07/01/2023;Filipinas;Manila;Ásia;2206;Chrome;07:34:16
25/01/2023;Fiji;Suva;Oceania;2494;Playstation;12:29:21
10/03/2023;Alemanha;Berlim;Europa;1628;Playstation;01:24:44
10/01/2023;Namíbia;Vinduque;África;1130;Notebook;23:48:25
28/01/2023;Barbados;Bridgetown;América;2050;Cellphone;14:37:57
14/03/2023;Barbados;Bridgetown;América;2568;Safari ;04:56:40
18/01/2023;Congo-Brazzaville;Brazavile;África;1485;Firefox;05:23:32
12/03/2023;Cuaite;Cidade do Cuaite;Ásia;1450;Apple TV;21:30:53
04/02/2023;Timor-Leste;Díli;Oceania;1669;Firefox;18:42:05
25/01/2023;Samoa;Apia;Oceania;2133;Box Android;01:35:06
27/01/2023;Maurícia;Porto Luís;África;908;Playstation;20:09:00
29/03/2023;Brasil;Brasília;América;1060;Apple TV;00:56:32
21/02/2023;Bangladexe;Daca;Ásia;2017;Playstation;20:43:58
23/02/2023;Turquia;Ancara;Ásia;2293;iPhone;17:38:11
08/03/2023;Gâmbia;Banjul;África;1058;Tv Smart;14:58:54
04/01/2023;Serra Leoa;Freetown;África;1904;iPhone;11:25:05
01/03/2023;Filipinas;Manila;Ásia;2205;Box Android;04:35:03
18/03/2023;Nauru;Iarém;Oceania;1126;Safari ;10:03:58
10/03/2023;São Vicente e Granadinas;Kingstown;América;2312;Cellphone;19:00:36
22/01/2023;Mianmar;Nepiedó;Ásia;1737;iPhone;09:03:42
